	Rk	Squad	MP	W	D	L	GF	GA	GD	Pts	xG	xGA	xGD	xGD/90	Attendance	Latitude	Longitude
0	1	Manchester City	38	29	6	3	99	26	73	93	96.6	26.0	70.5	1.86	52774	53.483135	-2.200941
1	2	Liverpool	38	28	8	2	94	26	68	92	95.1	37.3	57.8	1.52	53352	53.430759	-2.961425
2	3	Chelsea	38	21	11	6	76	33	43	74	70.7	38.3	32.5	0.86	36443	51.481834	-0.19139
3	4	Tottenham	38	22	5	11	69	40	29	71	66.5	45.3	21.2	0.56	56523	51.604252	-0.067007
4	5	Arsenal	38	22	3	13	61	48	13	69	67.3	51.2	16.0	0.42	59665	51.554867	-0.109112
5	6	Manchester Utd	38	16	10	12	57	57	0	58	61.7	59.6	2.1	0.05	73150	53.463493	-2.292279
6	7	West Ham	38	16	8	14	60	51	9	56	58.0	58.1	0.0	0.0	58370	51.538811	-0.017136
7	8	Leicester City	38	14	10	14	62	59	3	52	52.1	68.8	-16.7	-0.44	32493	52.62064	-1.14277
8	9	Brighton	38	12	15	11	42	44	-2	51	53.0	49.8	3.2	0.08	30966	50.861782	-0.084357
9	10	Wolves	38	15	6	17	38	43	-5	51	41.2	63.7	-22.5	-0.59	30841	52.590382	-2.130924
10	11	Newcastle Utd	38	13	10	15	44	62	-18	49	44.4	62.4	-18.0	-0.47	51487	54.97517	-1.622539
11	12	Crystal Palace	38	11	15	12	50	46	4	48	53.8	46.0	7.8	0.21	24588	51.398338	-0.086084
12	13	Brentford	38	13	7	18	48	56	-8	46	51.1	54.0	-2.8	-0.07	16918	51.490715	-0.289048
13	14	Aston Villa	38	13	6	19	52	54	-2	45	47.9	54.4	-6.5	-0.17	41681	52.50909	-1.885249
14	15	Southampton	38	9	13	16	43	67	-24	40	49.9	63.3	-13.4	-0.35	30134	50.906052	-1.391692
15	16	Everton	38	11	6	21	43	66	-23	39	47.5	60.9	-13.4	-0.35	38446	53.438751	-2.966681
16	17	Leeds United	38	9	11	18	42	79	-37	38	50.4	73.2	-22.8	-0.6	36308	53.777782	-1.573049
17	18	Burnley	38	7	14	17	34	53	-19	35	43.8	63.8	-20.0	-0.53	19278	53.789108	-2.230575
18	19	Watford	38	6	5	27	34	77	-43	23	44.3	72.6	-28.2	-0.74	20614	51.649906	-0.402061
19	20	Norwich City	38	5	7	26	23	84	-61	22	35.7	82.3	-46.6	-1.23	26836	52.622234	1.308621
