Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
383,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.6,0.6,0.5,1.2,5cdddffa
384,Ayoze Pérez,es ESP,MF,Leicester City,28,1993,14,6,445,4.9,2,3,2,0,0,0,1,1.5,1.5,1.9,3.4,819aa8e7
385,Przemysław Płacheta,pl POL,MFFW,Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,1,0,0.5,0.5,0.8,1.4,3c33f9d9
386,Malang Sarr,fr FRA,DF,Chelsea,22,1999,8,6,546,6.1,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,4315f30d
387,Fábio Silva,pt POR,FW,Wolves,19,2002,22,6,572,6.4,0,0,0,0,0,0,0,2.1,2.1,0.1,2.2,e7aa9d7c
388,Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,10,6,604,6.7,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,953c30b0
389,James Tomkins,eng ENG,DF,Crystal Palace,32,1989,8,6,547,6.1,1,0,1,0,0,2,0,0.7,0.7,0.2,0.8,e7ca0439
390,Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,9,6,508,5.6,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2baec6ce
391,Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,10,6,567,6.3,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1900032e
392,Nikola Vlašić,hr CRO,MF,West Ham,23,1997,19,6,560,6.2,1,0,1,0,0,0,0,1.0,1.0,0.8,1.8,aa8e289e
393,Steven Alzate,co COL,MF,Brighton,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,ad1f61f3
394,Donny van de Beek,nl NED,MF,Everton,24,1997,7,5,483,5.4,1,0,1,0,0,1,0,1.0,1.0,0.1,1.0,50dc94ce
395,Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,8,5,441,4.9,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,f63d8a4b
396,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,12,5,457,5.1,0,0,0,0,0,3,0,1.4,1.4,0.4,1.7,254147d4
397,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,7,5,523,5.8,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,f25b010f
398,Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,20,5,746,8.3,2,2,2,0,0,4,0,3.3,3.3,1.8,5.1,01962d0d
399,Pedro Neto,pt POR,MFFW,Wolves,21,2000,13,5,466,5.2,1,1,1,0,0,3,0,2.3,2.3,1.2,3.5,7ba2eaa9
400,Saúl Ñíguez,es ESP,DFMF,Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,1,0,0.3,0.3,0.5,0.7,c14bc029
401,Nicolas Pépé,ci CIV,MF,Arsenal,26,1995,20,5,696,7.7,1,2,1,0,0,0,0,2.7,2.7,1.9,4.6,57e3f0c7
402,Francisco Sierralta,cl CHI,DF,Watford,24,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0f933743
403,Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,6,5,429,4.8,2,0,2,0,0,0,0,0.2,0.2,0.4,0.6,21512407
404,Matěj Vydra,cz CZE,FW,Burnley,29,1992,22,5,679,7.5,2,3,2,0,0,1,0,2.9,2.9,0.8,3.7,0d4ceb32
405,Theo Walcott,eng ENG,MFFW,Southampton,32,1989,9,5,379,4.2,0,0,0,0,0,0,0,0.6,0.6,0.1,0.6,1ecb65be
406,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28d596a0
407,Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,25,4,565,6.3,3,1,3,0,0,1,0,2.6,2.6,0.9,3.6,a29b1131
408,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,01226327
409,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,6,4,388,4.3,1,0,1,0,0,0,1,0.5,0.5,0.0,0.5,c1949191
410,Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,6,4,285,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7d2d3329
411,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,6,4,346,3.8,0,0,0,0,0,0,0,1.1,1.1,0.6,1.8,c8387671
412,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,9,4,401,4.5,0,0,0,0,0,3,0,0.1,0.1,0.2,0.2,b579e83d
413,Anwar El Ghazi,nl NED,MFFW,Aston Villa,26,1995,9,4,386,4.3,1,1,0,1,1,2,0,1.2,0.4,0.4,0.8,ffa90327
414,Saman Ghoddos,ir IRN,MFDF,Brentford,27,1993,17,4,536,6.0,1,1,1,0,0,2,0,0.6,0.6,1.0,1.6,f7b1d4e0
415,Toti Gomes,pt POR,DF,Wolves,22,1999,4,4,360,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,f0caab96
416,Joe Gomez,eng ENG,DF,Liverpool,24,1997,8,4,331,3.7,0,1,0,0,0,2,0,0.0,0.0,0.7,0.8,7a11550b
417,Charlie Goode,eng ENG,DF,Brentford,25,1995,6,4,450,5.0,0,0,0,0,0,3,0,0.1,0.1,1.0,1.1,7aee4dd3
418,Kortney Hause,eng ENG,DF,Aston Villa,26,1995,7,4,397,4.4,1,0,1,0,0,0,0,0.2,0.2,0.0,0.2,bf8fad51
419,Ki-Jana Hoever,nl NED,DFMF,Wolves,19,2002,8,4,308,3.4,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,9a71e978
420,Bernd Leno,de GER,GK,Arsenal,29,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2628fd2b
421,Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,5,4,262,2.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,efb9215a
422,Kevin Long,ie IRL,DF,Burnley,30,1990,6,4,410,4.6,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5a4280b1
423,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.4,0.4,0.0,0.4,c393a6c4
424,Ferrán Torres,es ESP,FW,Manchester City,21,2000,4,4,303,3.4,2,1,2,0,0,0,0,2.3,2.3,0.0,2.4,9e1035f8
425,Ozan Tufan,tr TUR,MF,Watford,26,1995,7,4,334,3.7,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,17d45fb2
426,Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19e50035
427,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,a1232f4e
428,Asmir Begović,ba BIH,GK,Everton,34,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7b4de647
429,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,7,3,307,3.4,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,c067631c
430,Shane Long,ie IRL,FW,Southampton,34,1987,13,3,308,3.4,1,0,1,0,0,1,0,1.2,1.2,0.1,1.3,9f472354
431,Mark Noble,eng ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,0,1,2,0,0,1.6,0.0,0.0,0.0,ff527768
432,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,6e7f1353
433,Christos Tzolis,gr GRE,MFFW,Norwich City,19,2002,14,3,336,3.7,0,0,0,0,0,0,0,0.6,0.6,1.0,1.6,9f333379
434,Yan Valery,tn TUN,DF,Southampton,22,1999,5,3,370,4.1,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,531a4aa8
435,Willy Caballero,ar ARG,GK,Southampton,39,1981,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,a179d516
436,Calum Chambers,eng ENG,DF,Arsenal,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,dc6f5bdd
437,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2003,12,2,301,3.3,0,1,0,0,0,0,0,0.6,0.6,0.9,1.5,b2f9c73e
438,Luke Cundle,eng ENG,MF,Wolves,19,2002,4,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,cc3b8e78
439,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,0,1,0.1,0.1,0.2,0.3,60344e4f
440,Tom Davies,eng ENG,MF,Everton,23,1998,6,2,234,2.6,1,0,1,0,0,1,0,0.8,0.8,0.0,0.8,9228b07c
441,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,3,2,198,2.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3fe6bd8c
442,Dan Gosling,eng ENG,MF,Watford,31,1990,4,2,166,1.8,1,0,1,0,0,0,0,0.2,0.2,0.1,0.3,7fec31a0
443,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,76eca7e2
444,Daniel James,wls WAL,MF,Manchester Utd,23,1997,2,2,126,1.4,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,c931d9f9
445,Phil Jones,eng ENG,DF,Manchester Utd,29,1992,4,2,163,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,def899bd
446,Samuel Kalu,ng NGA,FW,Watford,23,1997,4,2,222,2.5,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,b8d22478
447,Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62d7ef38
448,Jesse Lingard,eng ENG,MFFW,Manchester Utd,28,1992,16,2,367,4.1,2,0,2,0,0,1,0,0.7,0.7,0.5,1.2,810e3c74
449,Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,d7553721
450,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,939bc634
451,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,8,2,268,3.0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,e3a5814e
452,Pablo Marí,es ESP,DF,Arsenal,27,1993,2,2,180,2.0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,aa54ec6f
453,Anthony Martial,fr FRA,FWMF,Manchester Utd,25,1995,8,2,212,2.4,1,0,1,0,0,0,0,0.6,0.6,0.0,0.6,8b788c01
454,Juan Mata,es ESP,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,29733c72
455,Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,93cf32a8
456,William Smallbone,ie IRL,MFFW,Southampton,21,2000,4,2,133,1.5,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5e105217
457,Dominic Thompson,eng ENG,DF,Brentford,21,2000,2,2,146,1.6,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,235a62f8
458,Christoph Zimmermann,de GER,DF,Norwich City,28,1993,3,2,157,1.7,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2d5f03bf
459,Dele Alli,eng ENG,MFFW,Everton,25,1996,11,1,338,3.8,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,cea4ee8f
460,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2f965a72
461,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,31822f8c
462,Ross Barkley,eng ENG,MFFW,Chelsea,27,1993,6,1,179,2.0,1,0,1,0,0,0,0,1.3,1.3,0.7,2.0,3a24769f
463,Lewis Bate,eng ENG,MF,Leeds United,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,cd4256d3
464,Chiquinho,pt POR,DFFW,Wolves,21,2000,8,1,208,2.3,0,3,0,0,0,0,0,0.4,0.4,0.8,1.1,dc6c2f02
465,Aaron Connolly,ie IRL,FWMF,Brighton,21,2000,4,1,156,1.7,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,27c01749
466,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,5,1,141,1.6,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4654e5f5
467,Cody Drameh,eng ENG,DFMF,Leeds United,19,2001,3,1,128,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,e0d1510a
468,Marcus Forss,fi FIN,FWMF,Brentford,22,1999,7,1,209,2.3,0,1,0,0,0,0,0,0.5,0.5,0.2,0.7,82c215a0
469,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,3,1,67,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6bd603db
470,Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,7,1,237,2.6,0,2,0,0,0,0,0,0.4,0.4,0.4,0.8,f3354c07
471,Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,3,1,92,1.0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,84c5ceea
472,Kenedy,br BRA,DF,Chelsea,25,1996,1,1,58,0.6,0,1,0,0,0,0,0,0.1,0.1,0.6,0.7,5eebbfdf
473,Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,2,1,91,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3935e52e
474,Hannibal Mejbri,tn TUN,MFFW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,ca22ccb0
475,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5271c8f1
476,Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,11,1,186,2.1,3,0,3,0,0,1,0,1.7,1.7,0.5,2.2,f833a830
477,Tyler Morton,eng ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2bc28bb9
478,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e7ee38c3
479,Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,dc7f8a28
480,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45685411
481,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7a1f2c08
482,John Ruddy,eng ENG,GK,Wolves,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,da8b19e2
483,Jeremy Sarmiento,ec ECU,MFFW,Brighton,19,2002,5,1,48,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ac0d576d
484,Ellis Simms,eng ENG,FW,Everton,20,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26d3b5be
485,Tony Springett,eng ENG,MF,Norwich City,18,2002,3,1,141,1.6,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,35be8087
486,Jason Steele,eng ENG,GK,Brighton,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28300a16
487,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a8a3d139
488,Zack Steffen,us USA,GK,Manchester City,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42130443
489,Dale Stephens,eng ENG,MF,Burnley,32,1989,3,1,124,1.4,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,653ee42d
490,Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,9,1,220,2.4,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,c47541e0
491,Danny Ward,wls WAL,GK,Leicester City,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d3ce0e89
492,Andriy Yarmolenko,ua UKR,MFFW,West Ham,31,1989,19,1,316,3.5,1,0,1,0,0,1,0,1.1,1.1,0.4,1.5,849c826a
493,Cameron Archer,eng ENG,FWMF,Aston Villa,19,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,05e8ca6d
494,Harrison Ashby,sct SCO,DF,West Ham,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b391383a
495,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,8,0,75,0.8,1,0,1,0,0,0,0,0.8,0.8,0.5,1.3,50dc94ce
496,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,407db0d5
497,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a2081c6b
498,Bryan,es ESP,MFDF,Tottenham,20,2001,9,0,94,1.0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7b5ab7f2
499,Chem Campbell,wls WAL,MF,Wolves,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6f711f67
500,Kayky Chagas,br BRA,FW,Manchester City,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17734ea0
501,Daniel Chesters,eng ENG,MF,West Ham,19,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,240c8ab6
502,Hélder Costa,ao ANG,MF,Leeds United,27,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,f13d02a6
503,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9deaf2c8
504,Troy Deeney,eng ENG,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,82e34b69
505,Liam Delap,eng ENG,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dd897ee7
506,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,3,0,32,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,e814e1cf
507,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d313e8ff
508,Evan Ferguson,ie IRL,MF,Brighton,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4596da74
509,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2f8d27bc
510,Ashley Fletcher,eng ENG,FW,Watford,25,1995,3,0,30,0.3,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,eeb6551f
511,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3dcef539
512,Leo Fuhr Hjelde,no NOR,MFDF,Leeds United,17,2003,2,0,150,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d102b8a2
513,Alejandro Garnacho,es ESP,MF,Manchester Utd,17,2004,2,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7aa8adfe
514,Dwight Gayle,eng ENG,FWDF,Newcastle Utd,30,1990,8,0,38,0.4,0,0,0,0,0,1,0,0.4,0.4,0.3,0.8,e58a03c6
515,Anwar El Ghazi,nl NED,MF,Everton,26,1995,2,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ffa90327
516,Morgan Gibbs-White,eng ENG,DFFW,Wolves,21,2000,2,0,9,0.1,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,32f60ed8
517,Kaide Gordon,eng ENG,FW,Liverpool,16,2004,1,0,9,0.1,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,19a9cb70
518,Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,3,0,72,0.8,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,989d5705
519,Moise Kean,it ITA,FW,Everton,21,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3d50bcdb
520,Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3f70db80
521,Alex Král,cz CZE,MF,West Ham,23,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e717705a
522,Jürgen Locadia,nl NED,MFFW,Brighton,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6cc47ae1
523,James Mcatee,eng ENG,MFFW,Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,96593e89
524,Kasey McAteer,eng ENG,MF,Leicester City,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b2c66859
525,Liam McCarron,sct SCO,MF,Leeds United,20,2001,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,076bb352
526,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1000a059
527,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,bfae110f
528,Bali Mumba,eng ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d760d7b
529,Reiss Nelson,eng ENG,MF,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,c5bdb6e3
530,Tyler Onyango,eng ENG,MF,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,d86a1f3e
531,Divock Origi,be BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,0,0,0,0,1.4,1.4,0.0,1.4,43a166b4
532,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e0bc6fdc
533,Sonny Perkins,eng ENG,FW,West Ham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,,,,,87f12e30
534,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19f4d211
535,Isaac Price,nir NIR,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,b9403c99
536,Taylor Richards,eng ENG,MF,Brighton,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e0243d23
537,Joe Rodon,wls WAL,DF,Tottenham,23,1997,3,0,89,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8d62d31a
538,Jon Rowe,eng ENG,MFFW,Norwich City,18,2003,13,0,223,2.5,0,1,0,0,0,0,0,0.2,0.2,0.6,0.9,8c12f884
539,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21945a9e
540,Shola Shoretire,eng ENG,MF,Manchester Utd,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,00f0482f
541,Finley Stevens,wls WAL,DF,Brentford,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7e003182
542,Crysencio Summerville,nl NED,MF,Leeds United,19,2001,6,0,130,1.4,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,df04eb4b
543,Cenk Tosun,tr TUR,MF,Everton,30,1991,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9a104dee
544,Trézéguet,eg EGY,FW,Aston Villa,26,1994,1,0,11,0.1,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3ae14ed1
545,Neco Williams,wls WAL,DF,Liverpool,20,2001,1,0,8,0.1,0,1,0,0,0,0,0,0.0,0.0,0.7,0.7,dd323728
546,Nathan Young-Coombes,eng ENG,MF,Brentford,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,f9682888
