Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
255,Paul Pogba,fr FRA,MF,Manchester Utd,28,1993,20,16,1349,15.0,1,9,1,0,0,7,1,2.8,2.8,4.0,6.8,867239d3
256,Cédric Soares,pt POR,DF,Arsenal,29,1991,21,16,1486,16.5,1,1,1,0,0,3,0,0.7,0.7,1.7,2.4,839c14e1
257,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,16,1440,16.0,0,0,0,0,0,1,0,0.4,0.4,2.2,2.6,e514ab62
258,Francisco Trincão,pt POR,FWMF,Wolves,21,1999,28,16,1336,14.8,2,1,2,0,0,0,0,3.9,3.9,1.6,5.5,77e39b04
259,Adam Webster,eng ENG,DF,Brighton,26,1995,22,16,1434,15.9,2,0,2,0,0,5,0,1.0,1.0,0.1,1.2,c40b6180
260,Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,18,16,1386,15.4,8,0,6,2,2,4,0,6.3,4.7,0.6,5.4,c596fcb0
261,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,25,15,1473,16.4,2,0,2,0,0,1,0,3.3,3.3,1.9,5.2,97333cf5
262,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,17,15,1283,14.3,5,2,3,2,3,2,0,6.5,4.2,1.5,5.7,59e6e5bf
263,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,16,15,1351,15.0,0,1,0,0,0,1,0,0.1,0.1,0.6,0.7,0442183b
264,Shane Duffy,ie IRL,DF,Brighton,29,1992,18,15,1436,16.0,1,0,1,0,0,7,0,1.8,1.8,0.2,2.1,7314bba4
265,João Pedro,br BRA,FWMF,Watford,19,2001,28,15,1644,18.3,3,1,3,0,0,1,0,4.7,4.7,3.2,7.9,e8832875
266,Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,24,15,1464,16.3,1,1,1,0,0,1,0,0.8,0.8,0.8,1.6,a2b105e0
267,Riyad Mahrez,dz ALG,FWMF,Manchester City,30,1991,28,15,1498,16.6,11,5,7,4,5,0,0,11.1,7.1,4.5,11.6,892d5bb1
268,Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,19,15,1257,14.0,1,2,1,0,0,5,0,0.4,0.4,0.3,0.6,758dd7f0
269,James McArthur,sct SCO,MF,Crystal Palace,33,1987,21,15,1439,16.0,0,3,0,0,0,4,0,0.4,0.4,1.6,2.1,cee31595
270,Daniel Podence,pt POR,FWMF,Wolves,25,1995,26,15,1484,16.5,2,3,2,0,0,2,0,2.7,2.7,4.5,7.2,7fcc71d8
271,William Troost-Ekong,ng NGA,DF,Watford,27,1993,17,15,1390,15.4,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,7ed4921e
272,Danny Welbeck,eng ENG,FWMF,Brighton,30,1990,25,15,1478,16.4,6,2,6,0,0,0,0,7.3,7.3,1.5,8.8,ce5143da
273,Timo Werner,de GER,FWMF,Chelsea,25,1996,21,15,1283,14.3,4,1,4,0,0,1,0,7.1,7.1,0.5,7.6,49fe9070
274,Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,17,15,1327,14.7,2,0,1,1,1,0,0,3.4,2.6,1.2,3.8,4e9a0555
275,Anthony Elanga,se SWE,MFFW,Manchester Utd,19,2002,21,14,1214,13.5,2,2,2,0,0,0,0,2.7,2.7,2.5,5.2,2fba6108
276,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,18,14,1169,13.0,0,1,0,0,0,2,0,0.1,0.1,0.7,0.8,112c495e
277,Naby Keïta,gn GUI,MF,Liverpool,26,1995,23,14,1173,13.0,3,1,3,0,0,3,0,2.1,2.1,2.0,4.1,f25c8e3a
278,Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,18,14,1261,14.0,5,8,5,0,0,3,0,3.6,3.6,3.8,7.4,df3cda47
279,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,18,14,1337,14.9,0,2,0,0,0,5,0,1.0,1.0,2.7,3.7,71ef519e
280,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,18,14,1350,15.0,0,0,0,0,0,6,0,0.3,0.3,1.0,1.2,6250083a
281,Hakim Ziyech,ma MAR,MFFW,Chelsea,28,1993,23,14,1319,14.7,4,3,4,0,0,3,0,4.1,4.1,3.4,7.5,6622454d
282,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,18,13,1102,12.2,0,1,0,0,0,2,0,1.8,1.8,0.5,2.4,f72293fc
283,Patson Daka,zm ZAM,FW,Leicester City,22,1998,23,13,1159,12.9,5,3,5,0,0,2,0,4.2,4.2,2.3,6.5,ca45605e
284,Lucas Digne,fr FRA,DF,Everton,28,1993,13,13,1170,13.0,0,0,0,0,0,4,0,0.4,0.4,1.8,2.2,1b84dbe1
285,Will Hughes,eng ENG,MF,Crystal Palace,26,1995,16,13,1053,11.7,0,1,0,0,0,6,0,0.2,0.2,0.9,1.1,a0666d3e
286,Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,26,13,1264,14.0,4,5,4,0,0,1,0,3.5,3.5,2.3,5.8,c92e1a31
287,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,24,13,1394,15.5,0,2,0,0,0,1,0,1.8,1.8,2.7,4.5,e97fd090
288,Adam Masina,ma MAR,DF,Watford,27,1994,15,13,1077,12.0,0,1,0,0,0,0,0,0.4,0.4,1.0,1.4,de0f152c
289,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,5,0,0,2,0,6.3,6.3,1.2,7.5,50e6dc35
290,Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,33,13,1473,16.4,1,2,1,0,0,4,0,2.7,2.7,2.9,5.5,de112b84
291,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,14,13,991,11.0,1,3,1,0,0,3,0,0.9,0.9,1.4,2.3,75a72a99
292,Christian Pulisic,us USA,MFFW,Chelsea,22,1998,22,13,1290,14.3,6,2,6,0,0,2,0,4.4,4.4,1.9,6.3,1bf33a9a
293,Marcus Rashford,eng ENG,MFFW,Manchester Utd,23,1997,25,13,1235,13.7,4,2,4,0,0,2,0,3.1,3.1,2.0,5.1,a1d5bd30
294,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,29,13,1382,15.4,2,2,2,0,0,3,0,5.6,5.6,1.6,7.2,4ab53cdb
295,Ryan Sessegnon,eng ENG,DFMF,Tottenham,21,2000,15,13,1047,11.6,0,2,0,0,0,2,0,0.5,0.5,2.9,3.4,6aa3e78b
